team_name,team_id,elo,matches_played
Unknown,9769066,1547.19,11
Unknown,9257546,1547.07,3
Unknown,10019084,1546.87,3
Execration,8254145,1546.76,132
Unknown,9408371,1546.71,3
Unknown,9814671,1546.47,3
Unknown,9839382,1546.45,22
Oshi hi teo Gaming,7777322,1546.43,9
Unknown,9824563,1545.88,15
Unknown,9773691,1545.87,61
BB Team,9131584,1545.3,26
Unknown,9499049,1545.13,8
Unknown,9872283,1544.74,3
Unknown,9750620,1544.54,3
Unknown,1360586,1544.46,3
Unknown,9615359,1544.38,3
Unknown,9866145,1544.17,89
Unknown,9444453,1543.96,11
Unknown,9820361,1543.5,196
Unknown,8969258,1543.48,4
Unknown,10000533,1543.29,7
Unknown,9736532,1543.22,3
Unknown,10020461,1542.94,5
Unknown,10027376,1542.64,17
Unknown,9564888,1542.13,56
Unknown,8697185,1542.09,27
Unknown,10054769,1542.08,23
Unknown,9895699,1542.06,9
Unknown,9722964,1541.96,13
Unknown,9780800,1540.67,43
Unknown,9025669,1540.37,330
Unknown,9957137,1539.98,5
Unknown,9579022,1539.65,31
Unknown,9838882,1539.41,21
Unknown,9729268,1539.08,567
Unknown,10000094,1538.8,14
Unknown,9461271,1538.12,19
Unknown,9017726,1537.88,6
Unknown,9818956,1537.81,12
Unknown,8879077,1537.79,302
Unknown,9699549,1537.71,5
Unknown,8750109,1537.66,5
Unknown,10020690,1537.61,13
Unknown,9866035,1537.22,5
Unknown,8795147,1537.2,13
Unknown,9849678,1536.08,18
Unknown,7389208,1535.82,8
Unknown,9736042,1535.42,2
Unknown,10101464,1534.87,3
Unknown,9865990,1534.73,9
Unknown,8292180,1534.39,2
Unknown,9780786,1534.36,8
Unknown,10054916,1534.16,2
Unknown,9517816,1534.08,10
Unknown,9793368,1533.48,22
Unknown,8864057,1533.33,2
Unknown,9878988,1533.32,4
Unknown,9628378,1533.21,2
Unknown,10075106,1533.21,2
Unknown,9538630,1532.81,8
Unknown,9492845,1532.7,2
Unknown,7700496,1532.64,4
Unknown,8188534,1532.58,4
Unknown,9948998,1532.41,6
Unknown,9395676,1532.36,2
Unknown,9843861,1532.3,15
Unknown,8229982,1532.01,2
